,var1(t-1),var1(t)
1,10132.710000000001,35424.375
2,35424.375,37803.255
3,37803.255,36147.40499999999
4,36147.40499999999,32198.144999999997
5,32198.144999999997,17412.57
6,17412.57,33004.75499999999
7,33004.75499999999,32269.440000000006
8,32269.440000000006,35026.424999999996
9,35026.424999999996,36494.325000000004
10,36494.325000000004,21604.694999999996
11,21604.694999999996,13584.794999999998
12,13584.794999999998,29134.455000000005
13,29134.455000000005,28434.629999999997
14,28434.629999999997,32157.72
15,32157.72,35497.77
16,35497.77,31109.715
17,31109.715,18726.119999999995
18,18726.119999999995,30684.254999999997
19,30684.254999999997,31959.689999999995
20,31959.689999999995,32755.905
21,32755.905,34877.115
22,34877.115,22089.480000000003
23,22089.480000000003,17491.214999999997
24,17491.214999999997,21837.480000000003
