,var1(t-1),var1(t)
1,355.42499999999995,8152.41
2,8152.41,9784.634999999998
3,9784.634999999998,9483.39
4,9483.39,7532.174999999999
5,7532.174999999999,5628.42
6,5628.42,9505.019999999999
7,9505.019999999999,8374.59
8,8374.59,8844.570000000002
9,8844.570000000002,9199.68
10,9199.68,7515.164999999999
11,7515.164999999999,7929.495000000002
12,7929.495000000002,8936.025
13,8936.025,8302.56
14,8302.56,6910.68
15,6910.68,8610.105
16,8610.105,8010.869999999999
17,8010.869999999999,7534.485000000001
18,7534.485000000001,6508.53
19,6508.53,4084.9200000000005
20,4084.9200000000005,3801.1050000000005
21,3801.1050000000005,3932.9849999999997
22,3932.9849999999997,3863.265
23,3863.265,4155.375
24,4155.375,7649.250000000002
25,7649.250000000002,6871.830000000002
26,6871.830000000002,8408.295
27,8408.295,8120.804999999999
28,8120.804999999999,6656.265
29,6656.265,8034.81
30,8034.81,8602.755
31,8602.755,8299.725
32,8299.725,8354.43
33,8354.43,7236.81
34,7236.81,7932.54
35,7932.54,6380.01
36,6380.01,7323.645
37,7323.645,9233.595000000001
38,9233.595000000001,8123.954999999998
39,8123.954999999998,8920.8
40,8920.8,8683.08
41,8683.08,8716.89
42,8716.89,5127.464999999999
43,5127.464999999999,3911.565
44,3911.565,2773.8900000000003
45,2773.8900000000003,2901.7799999999997
46,2901.7799999999997,711.2699999999998
47,711.2699999999998,3522.435
48,3522.435,3957.7650000000003
49,3957.7650000000003,4564.245
50,4564.245,4672.92
51,4672.92,7356.3
52,7356.3,9337.439999999999
53,9337.439999999999,7871.955000000001
54,7871.955000000001,3720.465
55,3720.465,8639.085000000001
56,8639.085000000001,7409.219999999998
57,7409.219999999998,6895.769999999999
58,6895.769999999999,7753.095
59,7753.095,8245.649999999998
60,8245.649999999998,5133.869999999999
61,5133.869999999999,8015.28
62,8015.28,6772.500000000001
63,6772.500000000001,8231.789999999999
64,8231.789999999999,7850.745
65,7850.745,7964.459999999999
66,7964.459999999999,8217.195
67,8217.195,8683.605
68,8683.605,7546.245
69,7546.245,6760.424999999999
70,6760.424999999999,7590.345000000001
71,7590.345000000001,5871.074999999999
72,5871.074999999999,3804.3599999999997
73,3804.3599999999997,3724.2449999999994
74,3724.2449999999994,3490.0949999999993
75,3490.0949999999993,3487.26
76,3487.26,7551.285
77,7551.285,5952.345
78,5952.345,7765.170000000001
79,7765.170000000001,7941.570000000001
80,7941.570000000001,7732.095
81,7732.095,7274.084999999999
82,7274.084999999999,7600.109999999999
83,7600.109999999999,7560.1050000000005
84,7560.1050000000005,7571.445
85,7571.445,7239.75
86,7239.75,6719.369999999999
87,6719.369999999999,8164.694999999999
88,8164.694999999999,6362.160000000001
89,6362.160000000001,8063.685000000001
90,8063.685000000001,7707.525
91,7707.525,9133.949999999999
92,9133.949999999999,8542.59
93,8542.59,7587.300000000001
94,7587.300000000001,5981.954999999999
95,5981.954999999999,4455.675
96,4455.675,2860.0950000000003
97,2860.0950000000003,2704.3799999999997
98,2704.3799999999997,3823.0500000000006
99,3823.0500000000006,4148.969999999999
100,4148.969999999999,4162.935
101,4162.935,4609.29
102,4609.29,3951.15
103,3951.15,5079.584999999999
104,5079.584999999999,7393.259999999999
105,7393.259999999999,4404.6449999999995
